States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andhra Pradesh",2023,1,"krishna district",4693,6275818
"Andhra Pradesh",2020,4,"anantapur district",1534,794053
"Andaman and Nicobar Islands",2022,1,"south andaman district",692,982206
"Andaman and Nicobar Islands",2022,3,"nicobars district",38,85640
"Andaman and Nicobar Islands",2023,3,"south andaman district",682,1052324
"Andhra Pradesh",2020,4,"chittoor district",1727,1168506
"Andhra Pradesh",2021,2,"chittoor district",2392,1839579
"Andhra Pradesh",2021,4,"guntur district",2709,3214794
"Andhra Pradesh",2022,3,"east godavari district",4355,5505134
"Andaman and Nicobar Islands",2022,1,"nicobars district",28,63852
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",112,224198
"Andhra Pradesh",2022,3,"srikakulam district",1079,1444643
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",45,90403
"Andaman and Nicobar Islands",2022,2,"nicobars district",26,56308
"Andhra Pradesh",2023,2,"east godavari district",3690,5519480
"Andhra Pradesh",2020,4,"ysr district",1165,631876
"Andhra Pradesh",2021,4,"krishna district",3029,3841028
"Andhra Pradesh",2022,2,"anantapur district",1794,2729962
"Andhra Pradesh",2022,3,"spsr nellore district",2593,3257610
"Andhra Pradesh",2021,2,"guntur district",2967,2201793
"Andaman and Nicobar Islands",2021,3,"nicobars district",15,30539
"Andaman and Nicobar Islands",2022,4,"south andaman district",750,1114857
"Andaman and Nicobar Islands",2023,3,"nicobars district",36,65285
"Andhra Pradesh",2022,1,"east godavari district",3605,5199664
"Andhra Pradesh",2022,2,"ysr district",1418,1920103
"Andaman and Nicobar Islands",2022,2,"south andaman district",430,633029
"Andhra Pradesh",2022,3,"vizianagaram district",1270,1573445
"Andaman and Nicobar Islands",2021,4,"north and middle andaman district",81,182061
"Andaman and Nicobar Islands",2022,4,"nicobars district",39,102155
"Andhra Pradesh",2020,4,"guntur district",2570,1620649
"Andhra Pradesh",2021,2,"krishna district",3451,2494257
"Andhra Pradesh",2023,2,"srikakulam district",1083,1556225
"Andhra Pradesh",2022,2,"west godavari district",2141,2903957
"Andhra Pradesh",2022,1,"srikakulam district",1004,1393633
"Andaman and Nicobar Islands",2022,2,"nicobars district",26,56308
"Andhra Pradesh",2020,2,"east godavari district",1913,352220
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",85,178969
"Andhra Pradesh",2020,4,"krishna district",2311,1222782
"Andhra Pradesh",2021,3,"east godavari district",2248,2073825
"Andhra Pradesh",2023,2,"spsr nellore district",2468,3679371
"Andhra Pradesh",2022,2,"kurnool district",1233,1573534
"Andaman and Nicobar Islands",2021,4,"south andaman district",632,800758
"Andhra Pradesh",2020,4,"west godavari district",1390,906282
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",70,129013
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",70,129013
"Andhra Pradesh",2020,2,"srikakulam district",536,107046
"Andhra Pradesh",2022,3,"visakhapatnam district",6720,7779967
"Andhra Pradesh",2022,2,"chittoor district",2836,4207850
"Andaman and Nicobar Islands",2021,4,"nicobars district",44,73561
"Andhra Pradesh",2021,3,"srikakulam district",798,803258
"Andaman and Nicobar Islands",2022,3,"south andaman district",535,687813
"Andaman and Nicobar Islands",2022,3,"south andaman district",535,687813
"Andhra Pradesh",2020,2,"spsr nellore district",931,176423
"Andhra Pradesh",2022,3,"prakasam district",2137,2552054
"Andaman and Nicobar Islands",2023,1,"south andaman district",872,1172083
"Andhra Pradesh",2021,3,"spsr nellore district",1486,1161025
"Andhra Pradesh",2023,2,"vizianagaram district",1227,1530183
"Andhra Pradesh",2021,1,"east godavari district",1937,1065604
"Andhra Pradesh",2022,1,"spsr nellore district",1878,2608475
"Andhra Pradesh",2020,2,"vizianagaram district",893,166029
"Andhra Pradesh",2022,3,"anantapur district",1934,2719786
"Andaman and Nicobar Islands",2022,1,"north and middle andaman district",48,85229
"Andhra Pradesh",2021,3,"vizianagaram district",736,628946
"Andhra Pradesh",2023,2,"visakhapatnam district",7000,8910217
"Andaman and Nicobar Islands",2023,1,"nicobars district",47,88146
"Andhra Pradesh",2022,1,"vizianagaram district",949,1344329
"Andhra Pradesh",2020,2,"visakhapatnam district",3504,614212
"Andhra Pradesh",2021,1,"srikakulam district",854,588769
"Andhra Pradesh",2022,3,"ysr district",1892,2559169
"Andhra Pradesh",2021,3,"visakhapatnam district",4044,3191769
"Andhra Pradesh",2023,2,"prakasam district",1311,1880405
"Andhra Pradesh",2020,4,"kurnool district",1092,500768
"Andhra Pradesh",2022,1,"visakhapatnam district",5196,6953446
"Andhra Pradesh",2020,2,"prakasam district",847,161709
"Andhra Pradesh",2022,2,"guntur district",3115,3979873
"Andaman and Nicobar Islands",2023,2,"north and middle andaman district",56,109742
"Andhra Pradesh",2021,3,"prakasam district",1050,877683
"Andhra Pradesh",2023,2,"anantapur district",1688,3027497
"Andhra Pradesh",2020,4,"chittoor district",1727,1168506
"Andhra Pradesh",2022,3,"west godavari district",2314,3113617
"Andaman and Nicobar Islands",2022,3,"nicobars district",38,85640
"Andhra Pradesh",2022,2,"krishna district",4578,5733009
"Andaman and Nicobar Islands",2022,1,"south andaman district",692,982206
"Andhra Pradesh",2022,1,"prakasam district",1797,2181402
"Andhra Pradesh",2023,2,"ysr district",1652,2426306
"Andhra Pradesh",2020,2,"anantapur district",2739,485777
"Andaman and Nicobar Islands",2023,2,"south andaman district",670,1060976
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",112,224198
"Andhra Pradesh",2022,3,"east godavari district",4355,5505134
"Andaman and Nicobar Islands",2022,1,"nicobars district",28,63852
"Andhra Pradesh",2023,2,"west godavari district",2140,3383512
"Andaman and Nicobar Islands",2022,4,"south andaman district",750,1114857
"Andhra Pradesh",2020,4,"guntur district",2570,1620649
"Andhra Pradesh",2020,2,"ysr district",1978,343002
"Andhra Pradesh",2022,3,"srikakulam district",1079,1444643
"Andaman and Nicobar Islands",2022,3,"nicobars district",38,85640
"Andhra Pradesh",2021,3,"anantapur district",1329,1311735
"Andhra Pradesh",2021,1,"spsr nellore district",1323,714947
"Andaman and Nicobar Islands",2023,2,"nicobars district",42,62677
"Andhra Pradesh",2022,3,"kurnool district",1318,1720753
"Andhra Pradesh",2020,2,"west godavari district",1074,202289
"Andhra Pradesh",2022,3,"spsr nellore district",2593,3257610
"Andaman and Nicobar Islands",2022,2,"north and middle andaman district",45,90403
"Andhra Pradesh",2021,3,"ysr district",1137,1033282
"Andhra Pradesh",2021,1,"vizianagaram district",781,526804
"Andhra Pradesh",2022,3,"vizianagaram district",1270,1573445
"Andaman and Nicobar Islands",2022,4,"north and middle andaman district",112,224198
"Andhra Pradesh",2020,2,"kurnool district",825,158720
"Andaman and Nicobar Islands",2023,3,"north and middle andaman district",77,133536
"Andaman and Nicobar Islands",2022,4,"nicobars district",39,102155
"Andhra Pradesh",2022,3,"chittoor district",3729,5145111
"Andhra Pradesh",2021,1,"visakhapatnam district",4006,2403199
"Andhra Pradesh",2023,2,"kurnool district",1473,2483871
"Andaman and Nicobar Islands",2022,4,"south andaman district",750,1114857
"Andhra Pradesh",2020,2,"chittoor district",2228,395099
